,nome_logradouro_residencia,quantidade
419,AVENIDA LIBERDADE,4
420,R TORRES HOMEM,4
421,RUA CONSELHEIRO TEODORO,4
422,RUA CENTENARIO DO SUL,4
423,RUA EURICO DE SOUZA LEAO,4
424,RUA PROFESSOR LINS E SILVA,4
425,RUA ITALACY,4
426,RUA AMALIA,4
427,RUA EURICO DE SOUZA LE?O,4
428,RUA JOS? BONIF?CIO,4
429,RUA DA GLORIA,4
430,RUA PROFESSOR ARMANDO DE MEIRA LINS,4
431,AVENIDA JOAQUIM RIBEIRO,4
432,RUA SANTA HELENA,4
433,RUA TAMBOARA,4
434,RUA ONZE DE AGOSTO,4
435,RUA RIO BRANCO DO SUL,4
436,RUA MELU,4
437,RUA FABINHO,4
438,RUA ELZA,4
439,RUA ALCANTARA,4
440,RUA JOS? MOREIRA REIS,4
441,AV. BEBERIBE,4
442,R ORESTES BARBOSA,4
443,RUA VISCONDE CRUZEIRO,4
444,RUA CAMINHO DA AREINHA,4
445,RUA ESTEVAO DE SA,4
446,RUA CAPITAO BRAZ,4
447,AV PRESIDENTE MEDICI,4
448,RUA PADRE ANDRE CAMAROTE,4
449,RUA IBIRACI,4
450,AVENIDA RECIFE,4
451,RUA ATUM,4
452,RUA IBITIARA,3
453,RUA JOSE ARMANDO MACHADO,3
454,RUA ADELAIDE,3
455,RUA EVARISTO DA VEIGA,3
456,RUA MONSENHOR FERREIRA LIMA,3
457,RUA MARISTELA,3
458,RUA CIDADE DO PORTO,3
459,RUA SODRELANDIA,3
460,PATROCINIO,3
461,RUA CARLOS ALBERTO VALENCA,3
462,RUA DA ASSEMBLEIA,3
463,RUA AGAMENON B LAFAYETE,3
464,RUA MORRO DO PILAR,3
465,RUA MIGUEL LAPENDA,3
466,RUA RIO BRIGIDA,3
467,RUA PROFESSOR JOSE DOS ANJOS,3
468,R ODETE MONTEIRO,3
469,RUA JAGUARUNA,3
470,RUA CERRO LARGO,3
471,RUA MACAE,3
472,RUA DOUTOR BENIGNO JORDAO VASCONCELOS,3
473,RUA REGENERAÃ?O,3
474,RUA IBIRAJA,3
475,RUA CONSELHEIRO BARROS BARRETO,3
476,RUA NORDESTE,3
477,RUA BENJAMIN CONSTANT,3
478,RUA CANTORA CLARA NUNES,3
479,AVENIDA CENTRAL,3
480,RUA LAVRAS DO SUL,3
481,RUA PROFESSOR EVALDO ALTINO,3
482,RUA CAMACHO,3
483,RUA PROFESSOR BANDEIRA,3
484,RUA ERNESTO NAZARETH,3
485,RUA ANA RECH,3
486,RUA BOM DESTINO,3
487,RUA MANDU,3
488,RUA MARIA AMALIA,3
489,RUA CASSATUBA,3
490,RUA VISCONDE DE SABUGOSA,3
491,RUA S?O JO?O,3
492,RUA MARIAPOLIS,3
493,RUA HENRIQUE RABELO,3
494,RUA PROF JOS? AMARINO DOS REIS,3
495,RUA DIAMANTINO,3
496,RUA DOUTOR TOME DIAS,3
497,RUA SEIS DE MARCO,3
498,RUA DEOLINDO TAVARES,3
499,RUA MARIO CAMPELO,3
500,RUA B,3
501,RUA MAJOR GUILHERME BONIFACIO,3
502,RUA PITANGUEIRA,3
503,RUA ENG NESTOR MOREIRA REIS,3
504,RUA TENENTE DOMINGOS DE BRITO,3
505,RUA SITIO SAO BRAZ,3
506,RUA PEDRO CELSO,3
507,RUA PAUDALHO,3
508,RUA ASA BRANCA,3
509,RUA DOUTOR VIRGINIO MARQUES,3
510,RUA SERRA TALHADA,3
511,RUA RUBIACEIA,3
512,RUA CAIPOS,3
513,RUA ALTO DA ESPERANCA,3
514,RUA COSME VIANA,3
515,RUA MARAGOGIPE,3
516,RUA JORNALISTA LUIZ JATOBA,3
517,RUA SANTA QUIT?RIA,3
518,RUA PORTO NACIONAL,3
519,RUA GONCALO LEITAO,3
520,RUA SEVERINA PEDROSA,3
521,RUA CLODOMIRO SILVA,3
522,RUA REAL DA TORRE,3
523,RUA ANTONIO PAULINO,3
524,RUA UBATANGA,3
525,RUA SAO VICENTE,3
526,RUA ELPIDIO BRANCO,3
527,RUA 12 DE JUNHO,3
528,RUA PASCOAL SIVINI,3
529,RUA 13 DE JULHO,3
530,RUA GENERAL VIRIATO DE MEDEIROS,3
531,RUA ADEMAR PIRES TRAVASSOS,3
532,RUA LAJES,3
533,RUA RUILANDIA,3
534,RUA 13 DE MARÃO,3
535,RUA ESPERANCA,3
536,RUA OSVALDO GUIMAR?ES,3
537,RUA ANTERO MOTA,3
538,RUA DOM FELICIANO,3
539,RUA QUATRO DE FEVEREIRO,3
540,RUA DEPUTADO LUIS DIAS LINS,3
541,RUA GASPAR DRUMOND,3
542,BARAO DE CARUARU,3
543,CAROLINA,3
544,R ERNANI BRAGA,3
